valueSource,historyProvider,setpointA,name1,label,priority,timestampSource,opcItemPath,dataType,documentation,name,tooltip,historyEnabled,tagType,opcServer,,
opc,Edge Historian,1,Alarm 1.30,"DIGITAL INPUT CARD 2 FAULTED [DI2], [1.30]",High,Value,ns=1;s=[ARTNS]FAULT_1.30,Boolean,"DIGITAL INPUT CARD 2 FAULTED [DI2], [1.30]",Fault 1.30,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.31,"DIGITAL INPUT CARD 3 FAULTED [DI3], [1.31]",High,Value,ns=1;s=[ARTNS]FAULT_1.31,Boolean,"DIGITAL INPUT CARD 3 FAULTED [DI3], [1.31]",Fault 1.31,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.00,"ANALOG INPUT CARD 1 FAULTED [AI1], [2.0]",High,Value,ns=1;s=[ARTNS]FAULT_2.0,Boolean,"ANALOG INPUT CARD 1 FAULTED [AI1], [2.0]",Fault 2.00,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.01,"ANALOG INPUT CARD 2 FAULTED [AI2], [2.1]",High,Value,ns=1;s=[ARTNS]FAULT_2.1,Boolean,"ANALOG INPUT CARD 2 FAULTED [AI2], [2.1]",Fault 2.01,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.02,"DIGITAL OUTPUT CARD 1 FAULTED [DO1], [2.2]",High,Value,ns=1;s=[ARTNS]FAULT_2.2,Boolean,"DIGITAL OUTPUT CARD 1 FAULTED [DO1], [2.2]",Fault 2.02,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.03,"DIGITAL OUTPUT CARD 2 FAULTED [DO2], [2.3]",High,Value,ns=1;s=[ARTNS]FAULT_2.3,Boolean,"DIGITAL OUTPUT CARD 2 FAULTED [DO2], [2.3]",Fault 2.03,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.04,"MAIN CABINET ESTOP OR DOOR [ES1,IL1], [2.4]",High,Value,ns=1;s=[ARTNS]FAULT_2.4,Boolean,"MAIN CABINET ESTOP OR DOOR [ES1,IL1], [2.4]",Fault 2.04,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.05,"FH1 ESTOP OR DOOR [ES2IL2], [2.5]",High,Value,ns=1;s=[ARTNS]FAULT_2.5,Boolean,"FH1 ESTOP OR DOOR [ES2IL2], [2.5]",Fault 2.05,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.06,"FH2 ESTOP OR DOOR [ES3IL3], [2.6]",High,Value,ns=1;s=[ARTNS]FAULT_2.6,Boolean,"FH2 ESTOP OR DOOR [ES3IL3], [2.6]",Fault 2.06,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.07,"NEUTRALIZATION HIGH-HIGH, OVERFLOW POSSIBLE, SHUT DOWN: [MOV-03], [MOV-01], [MOV-02] AND CONTACT MAINTAINENCE, [LV1] [2.7]",Critical,Value,ns=1;s=[ARTNS]FAULT_2.7,Boolean,"NEUTRALIZATION HIGH-HIGH, OVERFLOW POSSIBLE, SHUT DOWN: [MOV-03], [MOV-01], [MOV-02] AND CONTACT MAINTAINENCE, [LV1] [2.7]",Fault 2.07,,,AtomicTag,Ignition OPC UA Server,,
